,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
0,19600101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19600102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19600103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19600104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19600105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19600106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,19600107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19600108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19600109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19600110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19600111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19600112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19600113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19600114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,19600115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,19600116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,19600117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,19600118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19600119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19600120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,19600121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,19600122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,19600123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,19600124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,19600125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,19600126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,19600127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,19600128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,19600129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,19600130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,19600131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
